1161C0;HORQUILLA(B) - SUSTITUIR. (1)(DENSO) (3) (HITACHI) (4)(ND) (5) NOTA:
2191A6;SENSOR DE DESVÍO - SUSTITUIR.
219169;SENSOR DE LA TASA DE DESVÍO - SUSTITUIR.
0101B4;UNIDAD DE LA RADIO XM - SUSTITUIR.
0101E1;UNIDAD DE LA RADIO XM - SUSTITUIR. (PROGRAMA DE REMANUFACTURACIÓN)
010130;RECEPTOR DE LA RADIO XM - SUSTITUIR.
010131;MOSTRADOR DE LA RADIO XM - SUSTITUIR.
015116;ANTENA DE LA RADIO XM - SUSTITUIR.
0151C9;MÓDULO DE LA ANTENA XM - SUSTITUIR.
0131A5A;PUERTA TRASEIRA ELÉCTRICA - AGREGAR
841004;El Fieltro de Lana se Desprende de la Terminación del Panel de Instrumentos. 
010004;EL ALTAVOZ DE GRAVES/TRASERO ESTREMECE EL ÁREA DE CARGA - AISLAR LA CUBIERTA DEL ALTAVOZ DE GRAVES
1110A3;SIN UNA BOMBA DE AGUA: INSTALAR UN KIT DE CALCE CÓNICO Y LIJAR UNA
219130C;CON ALIENACIÓN DE RUEDA AGREGAR
1110A2;CON BOMBA DE AGUA: INSTALAR UN KIT DE CALCE CÓNICO Y UNA BOMBA DE AGUA. 
857103A;AGREGAR CON TWEETER DIFUSOR DE AGUDOS.
857104B;AGREGAR CON TWEETER DIFUSOR DE AGUDOS.
510110A;AGREGAR CON INCLINACIÓN DEL VOLANTE.
2800C1B;CON TESTE DE DIRECIÓN AGREGAR
2805K1B;CON TESTE DE DIRECIÓN AGREGAR
7805B1B;CON TESTE DE DIRECIÓN AGREGAR
3805B1B;CON TESTE DE DIRECIÓN AGREGAR
2805C1B;CON TESTE DE DIRECIÓN AGREGAR
4800D1B;CON TESTE DE DIRECIÓN AGREGAR
4800E1B;CON TESTE DE DIRECIÓN AGREGAR
2800K1B;CON TESTE DE DIRECIÓN AGREGAR
4805D1B;CON TESTE DE DIRECIÓN AGREGAR
5805G1B;CON TESTE DE DIRECIÓN AGREGAR
1805B1B;CON TESTE DE DIRECIÓN AGREGAR
7805C1B;CON TESTE DE DIRECIÓN AGREGAR
7805D1B;CON TESTE DE DIRECIÓN AGREGAR
7805E1B;CON TESTE DE DIRECIÓN AGREGAR
1800B1B;CON TESTE DE DIRECIÓN AGREGAR
4805E1B;CON TESTE DE DIRECIÓN AGREGAR
7805G1B;CON TESTE DE DIRECIÓN AGREGAR
5800G1B;CON TESTE DE DIRECIÓN AGREGAR
7805K1B;CON TESTE DE DIRECIÓN AGREGAR
0151A8C;Con techo solar/quitasol
0151A4A;Con techo solar/quitasol
8551B7C;Con techo solar/quitasol
7371D5A;CON TECHO SOLAR - AGREGAR
842100C;Agregar con techo solar.
5101A1B;AGREGAR CON SENSOR DE LA DIRECCIÓN.
2800C1D;CON ARRANQUE DE EMBRAJE AGREGAR
2805C1D;CON ARRANQUE DE EMBRAJE AGREGAR
7805C1D;CON ARRANQUE DE EMBRAJE AGREGAR
7371A0D;AGREGAR CON GUARNICIÓN LATERAL DE LA SOLERA. INCLUIR: AIRE ACONDICIONADO.
8131A6A;AGREGAR CON GUARNICIÓN LATERAL DE LA SOLERA.
8131A7A;AGREGAR CON GUARNICIÓN LATERAL DE LA SOLERA.
8121C1A;AGREGAR CON GUARNICIÓN LATERAL DE LA SOLERA.
7421C5A;AGREGAR CON GUARNICIÓN LATERAL DE LA SOLERA.
7421B0C;AGREGAR CON GUARNICIÓN LATERAL DE LA SOLERA.
7371K3A;Agregar con guarnición lateral de la solera.
831120A;CON CARRIL DE TECHO - AGREGAR
1101E6B;AGREGAR CON BALANCÍN (ADMISIÓN Y/O ESCAPE).
1101E5B;AGREGAR CON BALANCÍN (ADMISIÓN Y/O ESCAPE).
2191N8A;CON EL LADO DERECHO, AGREGAR
2191P4A;CON SUSTITUCIÓN DE LA JUNTA HOMOCINÉTICA DEL LADO OPOSTO.
832120A;AGREGAR CON PUERTA TRASERA ELÉCTRICA. 
823100B;CON TAPA TRASERA ELÉCTRICA – AGREGAR
